(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 155, train-time: 6.633001089096069, com-time: 9.285152912139893, loss 2.3641724586486816, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 156, train-time: 6.6333935260772705, com-time: 9.169836044311523, loss 2.311150550842285, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 157, train-time: 6.6355061531066895, com-time: 9.297824144363403, loss 2.3326172828674316, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 158, train-time: 6.639258623123169, com-time: 9.365355491638184, loss 2.339181900024414, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 159, train-time: 6.634754657745361, com-time: 9.233082294464111, loss 2.3058383464813232, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 160, train-time: 6.639162540435791, com-time: 9.254480838775635, loss 2.3679964542388916, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 161, train-time: 6.643679141998291, com-time: 9.237164974212646, loss 2.303452968597412, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 162, train-time: 6.634772539138794, com-time: 9.218932867050171, loss 2.326835870742798, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 163, train-time: 6.642956256866455, com-time: 9.299456357955933, loss 2.289076328277588, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 164, train-time: 6.633681058883667, com-time: 9.2405424118042, loss 2.34196400642395, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 165, train-time: 6.639509439468384, com-time: 9.229241609573364, loss 2.365264892578125, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 166, train-time: 6.629927635192871, com-time: 9.2657151222229, loss 2.3044357299804688, prec: 9.803921699523926, 
